Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Price
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
MAHINDRA SCORPIO,2021,15235,Diesel,Manual,First,1694000
Honda Brio,2012,54334,Petrol,Manual,First,231000
Maruti Baleno,2020,23578,Petrol,Manual,First,604000
Maruti Eeco,2019,15468,Petrol,Manual,First,486000
VOLKSWAGEN POLO,2015,64704,Petrol,Manual,Second,495000
Maruti WAGON R 1.0,2017,83279,Petrol,Manual,First,332000
Maruti ALTO 800,2018,95040,CNG,Manual,First,301000
SKODA KUSHAQ,2022,13624,Petrol,Manual,First,1156000
Maruti Baleno,2016,68018,Petrol,Manual,First,499000
FORD ECOSPORT,2020,96075,Diesel,Manual,First,781000
HYUNDAI GRAND I10,2015,23308,Petrol,Manual,First,396000
Hyundai Elite i20,2019,48693,Petrol,Manual,First,602000
Tata NEXON,2018,95230,Petrol,Manual,First,608000
Hyundai Creta,2016,49436,Petrol,Manual,Second,797000
Renault Kwid,2017,72956,Petrol,Manual,Second,311000
HYUNDAI ELITE I20,2017,50636,Petrol,Manual,Second,587000
Volkswagen Polo,2020,27746,Petrol,Manual,First,680000
Mahindra XUV 3OO,2019,86652,Diesel,Manual,First,830000
Maruti Swift,2014,69757,Petrol,Manual,First,421000
Hyundai Creta,2020,20235,Petrol,Automatic,First,1674000
